Time(ms),Location(m),Speed(m/s)
64700,5568.95,72.54
64800,5576.2,72.48
64900,5583.45,72.42
65000,5590.69,72.36
65100,5597.92,72.3
65200,5605.15,72.24
65300,5612.37,72.18
65400,5619.58,72.12
65500,5626.79,72.06
65600,5633.99,72
65700,5641.19,71.94
65800,5648.38,71.88
65900,5655.57,71.82
66000,5662.75,71.76
66100,5669.92,71.7
66200,5677.09,71.64
66300,5684.25,71.58
66400,5691.4,71.52
66500,5698.55,71.46
66600,5705.69,71.4
66700,5712.83,71.34
66800,5719.96,71.28
66900,5727.09,71.22
67000,5734.21,71.16
67100,5741.32,71.1
67200,5748.43,71.04
67300,5755.53,70.98
67400,5762.62,70.92
67500,5769.71,70.86
67600,5776.79,70.8
67700,5783.87,70.74
67800,5790.94,70.68
67900,5798.01,70.62
68000,5805.07,70.56
68100,5812.12,70.5
68200,5819.17,70.44
68300,5826.21,70.38
68400,5833.24,70.32
68500,5840.27,70.26
68600,5847.29,70.2
68700,5854.31,70.14
68800,5861.32,70.08
68900,5868.33,70.02
69000,5875.33,69.96
69100,5882.32,69.9
69200,5889.31,69.84
69300,5896.29,69.78
69400,5903.26,69.72
69500,5910.23,69.66
69600,5917.19,69.6
69700,5924.15,69.54
69800,5931.1,69.48
69900,5938.05,69.42
70000,5944.99,69.36
70100,5951.92,69.3
70200,5958.85,69.24
70300,5965.77,69.18
70400,5972.68,69.12
70500,5979.59,69.06
70600,5986.49,69
70700,5993.39,68.94
70800,6000.28,68.88
70900,6007.17,68.82
71000,6014.05,68.76
71100,6020.92,68.7
71200,6027.79,68.64
71300,6034.65,68.58
71400,6041.5,68.52
71500,6048.35,68.46
71600,6055.19,68.4
71700,6062.03,68.34
71800,6068.86,68.28
71900,6075.69,68.22
72000,6082.51,68.16
72100,6089.32,68.1
72200,6096.13,68.04
72300,6102.93,67.98
72400,6109.72,67.92
72500,6116.51,67.86
72600,6123.29,67.8
72700,6130.07,67.74
72800,6136.84,67.68
72900,6143.61,67.62
73000,6150.37,67.56
73100,6157.12,67.5
73200,6163.87,67.44
73300,6170.61,67.38
73400,6177.34,67.32
73500,6184.07,67.26
73600,6190.79,67.2
73700,6197.51,67.14
73800,6204.22,67.08
73900,6210.93,67.02
74000,6217.63,66.96
74100,6224.32,66.9
74200,6231.01,66.84
74300,6237.69,66.78
74400,6244.36,66.72
74500,6251.03,66.66
74600,6257.69,66.6
74700,6264.35,66.54
74800,6271,66.48
74900,6277.65,66.42
75000,6284.29,66.36
75100,6290.92,66.3
75200,6297.55,66.24
75300,6304.17,66.18
75400,6310.78,66.12
75500,6317.39,66.06
75600,6323.99,66
75700,6330.59,65.94
75800,6337.18,65.88
75900,6343.77,65.82
76000,6350.35,65.76
76100,6356.92,65.7
76200,6363.49,65.64
76300,6370.05,65.58
76400,6376.6,65.52
76500,6383.15,65.46
76600,6389.69,65.4
76700,6396.23,65.34
76800,6402.76,65.28
76900,6409.29,65.22
77000,6415.81,65.16
77100,6422.32,65.1
77200,6428.83,65.04
77300,6435.33,64.98
77400,6441.82,64.92
77500,6448.31,64.86
77600,6454.79,64.8
77700,6461.27,64.74
77800,6467.74,64.68
77900,6474.21,64.62
78000,6480.67,64.56
78100,6487.12,64.5
78200,6493.57,64.44
78300,6500.01,64.38
78400,6506.44,64.32
78500,6512.87,64.26
78600,6519.29,64.2
78700,6525.71,64.14
78800,6532.12,64.08
78900,6538.53,64.02
79000,6544.93,63.96
79100,6551.32,63.9
79200,6557.71,63.84
79300,6564.09,63.78
79400,6570.46,63.72
79500,6576.83,63.66
79600,6583.19,63.6
79700,6589.55,63.54
79800,6595.9,63.48
79900,6602.25,63.42
80000,6608.59,63.36
80100,6614.92,63.3
80200,6621.25,63.24
80300,6627.57,63.18
80400,6633.88,63.12
80500,6640.19,63.06
80600,6646.49,63
80700,6652.79,62.94
80800,6659.08,62.88
80900,6665.37,62.82
81000,6671.65,62.76
81100,6677.92,62.7
81200,6684.19,62.64
81300,6690.45,62.58
81400,6696.7,62.52
81500,6702.95,62.46
81600,6709.19,62.4
81700,6715.43,62.34
81800,6721.66,62.28
81900,6727.89,62.22
82000,6734.11,62.16
82100,6740.32,62.1
82200,6746.53,62.04
82300,6752.73,61.98
82400,6758.92,61.92
82500,6765.11,61.86
82600,6771.29,61.8
82700,6777.47,61.74
82800,6783.64,61.68
82900,6789.81,61.62
83000,6795.97,61.56
83100,6802.12,61.5
83200,6808.27,61.44
83300,6814.41,61.38
83400,6820.54,61.32
83500,6826.67,61.26
83600,6832.79,61.2
83700,6838.91,61.14
83800,6845.02,61.08
83900,6851.13,61.02
84000,6857.23,60.96
84100,6863.32,60.9
84200,6869.41,60.84
84300,6875.49,60.78
84400,6881.56,60.72
84500,6887.63,60.66
84600,6893.69,60.6
84700,6899.75,60.54
84800,6905.8,60.48
84900,6911.85,60.42
85000,6917.89,60.36
85100,6923.92,60.3
85200,6929.95,60.24
85300,6935.97,60.18
85400,6941.98,60.12
85500,6947.99,60.06
85600,6953.99,60
85700,6959.99,59.94
85800,6965.98,59.88
85900,6971.97,59.82
86000,6977.95,59.76
86100,6983.92,59.7
86200,6989.89,59.64
86300,6995.85,59.58
86400,7001.8,59.52
86500,7007.75,59.46
86600,7013.69,59.4
86700,7019.63,59.34
86800,7025.56,59.28
86900,7031.49,59.22
87000,7037.41,59.16
87100,7043.32,59.1
87200,7049.23,59.04
87300,7055.13,58.98
87400,7061.02,58.92
87500,7066.91,58.86
87600,7072.79,58.8
87700,7078.67,58.74
87800,7084.54,58.68
87900,7090.41,58.62
88000,7096.27,58.56
88100,7102.12,58.5
88200,7107.97,58.44
88300,7113.81,58.38
88400,7119.64,58.32
88500,7125.47,58.26
88600,7131.29,58.2
88700,7137.11,58.14
88800,7142.92,58.08
