Time(ms),Location(m),Speed(m/s)
86900,14275,0
87000,14275,0
87100,14275,0
87200,14275,0
87300,14275,0
87400,14275,0
87500,14275,0
87600,14275,0
87700,14275,0
87800,14275,0
87900,14275,0
88000,14275,0
88100,14275,0
88200,14275,0
88300,14275,0
88400,14275,0
88500,14275,0
88600,14275,0
88700,14275,0
88800,14275,0
88900,14275,0
89000,14275,0
89100,14275,0
89200,14275,0
89300,14275,0
89400,14275,0
89500,14275,0
89600,14275,0
89700,14275,0
89800,14275,0
89900,14275,0
90000,14275,0
90100,14275,0
90200,14275,0
90300,14275,0
90400,14275,0
90500,14275,0
90600,14275,0
90700,14275,0
90800,14275,0
90900,14275,0
91000,14275,0
91100,14275,0
91200,14275,0
91300,14275,0
91400,14275,0
91500,14275,0
91600,14275,0
91700,14275,0
91800,14275,0
91900,14275,0
92000,14275,0
92100,14275,0
92200,14275,0
92300,14275,0
92400,14275,0
92500,14275,0
92600,14275,0
92700,14275,0
92800,14275,0
92900,14275,0
93000,14275,0
93100,14275,0
93200,14275,0
93300,14275,0
93400,14275,0
93500,14275,0
93600,14275,0
93700,14275,0
93800,14275,0
93900,14275,0
94000,14275,0
94100,14275,0
94200,14275,0
94300,14275,0
94400,14275,0
94500,14275,0
94600,14275,0
94700,14275,0
94800,14275,0
94900,14275,0
95000,14275,0
95100,14275,0
95200,14275,0
95300,14275,0
95400,14275,0
95500,14275,0
95600,14275,0
95700,14275,0
95800,14275,0
95900,14275,0
96000,14275,0
96100,14275,0
96200,14275,0
96300,14275,0
96400,14275,0
96500,14275,0
96600,14275,0
96700,14275,0
96800,14275,0
96900,14275,0
97000,14275,0
97100,14275,0
97200,14275,0
97300,14275,0
97400,14275,0
97500,14275,0
97600,14275,0
97700,14275,0
97800,14275,0
97900,14275,0
98000,14275,0
98100,14275,0
98200,14275,0
98300,14275,0
98400,14275,0
98500,14275,0
98600,14275,0
98700,14275,0
98800,14275,0
98900,14275,0
99000,14275,0
99100,14275,0
99200,14275,0
99300,14275,0
99400,14275,0
99500,14275,0
99600,14275,0
99700,14275,0
99800,14275,0
99900,14275,0
100000,14275,0
100100,14275,0
100200,14275,0
100300,14275,0
100400,14275,0
100500,14275,0
100600,14275,0
100700,14275,0
100800,14275,0
100900,14275,0
101000,14275,0
101100,14275,0
101200,14275,0
101300,14275,0
101400,14275,0
101500,14275,0
101600,14275,0
101700,14275,0
101800,14275,0
101900,14275,0
102000,14275,0
102100,14275,0
102200,14275,0
102300,14275,0
102400,14275,0
102500,14275,0
102600,14275,0
102700,14275,0
102800,14275,0
102900,14275,0
103000,14275,0
103100,14275,0
103200,14275,0
103300,14275,0
103400,14275,0
103500,14275,0
103600,14275,0
103700,14275,0
103800,14275,0
103900,14275,0
104000,14275,0
104100,14275,0
104200,14275,0
104300,14275,0
104400,14275,0
104500,14275,0
104600,14275,0
104700,14275,0
104800,14275,0
104900,14275,0
105000,14275,0
105100,14275,0
105200,14275,0
105300,14275,0
105400,14275,0
105500,14275,0
105600,14275,0
105700,14275,0
105800,14275,0
105900,14275,0
106000,14275,0
106100,14275,0
106200,14275,0
106300,14275,0
106400,14275,0
106500,14275,0
106600,14275,0
106700,14275,0
106800,14275,0
106900,14275,0
107000,14275,0
107100,14275,0
107200,14275,0
107300,14275,0
107400,14275,0
107500,14275,0
107600,14275,0
107700,14275,0
107800,14275,0
107900,14275,0
108000,14275,0
108100,14275,0
108200,14275,0
108300,14275,0
108400,14275,0
108500,14275,0
108600,14275,0
108700,14275,0
108800,14275,0
108900,14275,0
109000,14275,0
109100,14275,0
109200,14275,0
109300,14275,0
109400,14275,0
109500,14275,0
109600,14275,0
109700,14275,0
109800,14275,0
109900,14275,0
110000,14275,0
110100,14275,0
110200,14275,0
110300,14275,0
110400,14275,0
110500,14275,0
110600,14275,0
110700,14275,0
110800,14275,0
110900,14275,0
111000,14275,0
111100,14275,0
111200,14275,0
111300,14275,0
111400,14275,0
111500,14275,0
111600,14275,0
111700,14275,0
111800,14275,0
111900,14275,0
112000,14275,0
112100,14275,0
112200,14275,0
112300,14275,0
112400,14275,0
112500,14275,0
112600,14275,0
112700,14275,0
112800,14275,0
112900,14275,0
113000,14275,0
113100,14275,0
113200,14275,0
113300,14275,0
113400,14275,0
113500,14275,0
113600,14275,0
113700,14275,0
113800,14275,0
113900,14275,0
114000,14275,0
114100,14275,0
114200,14275,0
114300,14275,0
114400,14275,0
114500,14275,0
114600,14275,0
114700,14275,0
114800,14275,0
114900,14275,0
115000,14275,0
115100,14275,0
115200,14275,0
115300,14275,0
115400,14275,0
115500,14275,0
115600,14275,0
115700,14275,0
115800,14275,0
115900,14275,0
116000,14275,0
116100,14275,0
116200,14275,0
116300,14275,0
116400,14275,0
116500,14275,0
116600,14275,0
116700,14275,0
116800,14275,0
116900,14275,0
117000,14275,0
117100,14275,0
117200,14275,0
117300,14275,0
117400,14275,0
117500,14275,0
117600,14275,0
117700,14275,0
117800,14275,0
117900,14275,0
118000,14275,0
118100,14275,0
118200,14275,0
118300,14275,0
118400,14275,0
118500,14275,0
118600,14275,0
118700,14275,0
118800,14275,0
118900,14275,0
119000,14275,0
119100,14275,0
119200,14275,0
119300,14275,0
119400,14275,0
119500,14275,0
119600,14275,0
119700,14275,0
119800,14275,0
119900,14275,0
120000,14275,0
120100,14275,0.06
120200,14275,0.12
120300,14275,0.18
120400,14275,0.24
120500,14275.1,0.3
120600,14275.1,0.36
120700,14275.1,0.42
120800,14275.2,0.48
120900,14275.2,0.54
121000,14275.3,0.6
121100,14275.4,0.66
121200,14275.4,0.72
121300,14275.5,0.78
121400,14275.6,0.84
121500,14275.7,0.9
121600,14275.8,0.96
121700,14275.9,1.02
121800,14276,1.08
121900,14276.1,1.14
122000,14276.2,1.2
122100,14276.3,1.26
122200,14276.4,1.32
122300,14276.6,1.38
122400,14276.7,1.44
122500,14276.9,1.5
122600,14277,1.56
