Time(ms),Location(m),Speed(m/s)
96400,8676,90
96500,8685,90
96600,8694,90
96700,8703,90
96800,8712,90
96900,8721,90
97000,8730,90
97100,8739,90
97200,8748,90
97300,8757,90
97400,8766,90
97500,8775,90
97600,8784,90
97700,8793,90
97800,8802,90
97900,8811,90
98000,8820,90
98100,8829,90
98200,8838,90
98300,8847,90
98400,8856,90
98500,8865,90
98600,8874,90
98700,8883,90
98800,8892,90
98900,8901,90
99000,8910,90
99100,8919,90
99200,8928,90
99300,8937,90
99400,8946,90
99500,8955,90
99600,8964,90
99700,8973,90
99800,8982,90
99900,8991,90
100000,9000,90
100100,9009,90
100200,9018,90
100300,9027,90
100400,9036,90
100500,9045,90
100600,9054,90
100700,9063,90
100800,9072,90
100900,9081,90
101000,9090,90
101100,9099,90
101200,9108,90
101300,9117,90
101400,9126,90
101500,9135,90
101600,9144,90
101700,9153,90
101800,9162,90
101900,9171,90
102000,9180,90
102100,9189,90
102200,9198,90
102300,9207,90
102400,9216,90
102500,9225,90
102600,9234,90
102700,9243,90
102800,9252,90
102900,9261,90
103000,9270,90
103100,9279,90
103200,9288,90
103300,9297,90
103400,9306,90
103500,9315,90
103600,9324,90
103700,9333,90
103800,9342,90
103900,9351,90
104000,9360,90
104100,9369,90
104200,9378,90
104300,9387,90
104400,9396,90
104500,9405,90
104600,9414,90
104700,9423,90
104800,9432,90
104900,9441,90
105000,9450,90
105100,9459,90
105200,9468,90
105300,9477,90
105400,9486,90
105500,9495,90
105600,9504,90
105700,9513,90
105800,9522,90
105900,9531,90
106000,9540,90
106100,9549,90
106200,9558,90
106300,9567,90
106400,9576,90
106500,9585,90
106600,9594,90
106700,9603,90
106800,9612,90
106900,9621,90
107000,9630,90
107100,9639,90
107200,9648,90
107300,9657,90
107400,9666,90
107500,9675,90
107600,9684,90
107700,9693,90
107800,9702,90
107900,9711,90
108000,9720,90
108100,9729,90
108200,9738,90
108300,9747,90
108400,9756,90
108500,9765,90
108600,9774,90
108700,9783,90
108800,9792,90
108900,9801,90
109000,9810,90
109100,9819,90
109200,9828,90
109300,9837,90
109400,9846,90
109500,9855,90
109600,9864,90
109700,9873,90
109800,9882,90
109900,9891,90
110000,9900,90
110100,9909,90
110200,9918,90
110300,9927,90
110400,9936,90
110500,9945,90
110600,9954,90
110700,9963,90
110800,9972,90
110900,9981,90
111000,9990,90
111100,9999,90
111200,10008,90
111300,10017,90
111400,10026,90
111500,10035,90
111600,10044,90
111700,10053,90
111800,10062,90
111900,10071,90
112000,10080,90
112100,10089,90
112200,10098,90
112300,10107,90
112400,10116,90
112500,10125,90
112600,10134,90
112700,10143,90
112800,10152,90
112900,10161,90
113000,10170,90
113100,10179,90
113200,10188,90
113300,10197,90
113400,10206,90
113500,10215,90
113600,10224,90
113700,10233,90
113800,10242,90
113900,10251,90
114000,10260,90
114100,10269,90
114200,10278,90
114300,10287,90
114400,10296,90
114500,10305,90
114600,10314,90
114700,10323,90
114800,10332,90
114900,10341,90
115000,10350,90
115100,10359,90
115200,10368,90
115300,10377,90
115400,10386,90
115500,10395,90
115600,10404,90
115700,10413,90
115800,10422,90
115900,10431,90
116000,10440,90
116100,10449,90
116200,10458,90
116300,10467,90
116400,10476,90
116500,10485,90
116600,10494,90
116700,10503,90
116800,10512,90
116900,10521,90
117000,10530,90
117100,10539,90
117200,10548,90
117300,10557,90
117400,10566,90
117500,10575,90
117600,10584,90
117700,10593,90
117800,10602,90
117900,10611,90
118000,10620,90
118100,10629,90
118200,10638,90
118300,10647,90
118400,10656,90
118500,10665,90
118600,10674,90
118700,10683,90
118800,10692,90
118900,10701,90
119000,10710,90
119100,10719,90
119200,10728,90
119300,10737,90
119400,10746,90
119500,10755,90
119600,10764,90
119700,10773,90
119800,10782,90
119900,10791,90
120000,10800,90
120100,10809,90
120200,10818,90
120300,10827,90
120400,10836,90
120500,10845,90
120600,10854,90
120700,10863,90
120800,10872,90
120900,10881,90
121000,10890,90
121100,10899,90
121200,10908,90
121300,10917,90
121400,10926,90
121500,10935,90
121600,10944,90
121700,10953,90
121800,10962,90
121900,10971,90
122000,10980,90
122100,10989,90
122200,10998,90
122300,11007,90
122400,11016,90
122500,11025,90
122600,11034,90
122700,11043,90
122800,11052,90
122900,11061,90
123000,11070,90
123100,11079,90
123200,11088,90
123300,11097,90
123400,11106,90
123500,11115,90
123600,11124,90
123700,11133,90
123800,11142,90
123900,11151,90
124000,11160,90
124100,11169,90
124200,11178,90
124300,11187,90
124400,11196,90
124500,11205,90
124600,11214,90
124700,11223,90
124800,11232,90
124900,11241,90
125000,11250,90
125100,11259,90
125200,11268,90
125300,11277,90
125400,11286,90
125500,11295,90
125600,11304,90
125700,11313,90
125800,11322,90
125900,11331,90
126000,11340,90
126100,11349,90
126200,11358,90
126300,11367,90
126400,11376,90
126500,11385,90
126600,11394,90
126700,11403,90
126800,11412,90
126900,11421,90
127000,11430,90
127100,11439,90
127200,11448,90
127300,11457,90
127400,11466,90
127500,11475,90
127600,11484,90
127700,11493,90
127800,11502,90
127900,11511,90
128000,11520,90
128100,11529,90
128200,11538,90
128300,11547,90
128400,11556,90
128500,11565,90
128600,11574,90
128700,11583,90
128800,11592,90
128900,11601,90
129000,11610,90
129100,11619,90
129200,11628,90
129300,11637,90
129400,11646,90
129500,11655,90
129600,11664,90
129700,11673,90
129800,11682,90
129900,11691,90
130000,11700,90
130100,11709,89.88
130200,11718,89.76
130300,11726.9,89.64
130400,11735.9,89.52
130500,11744.9,89.4
130600,11753.8,89.28
130700,11762.7,89.16
130800,11771.6,89.04
130900,11780.5,88.92
131000,11789.4,88.8
131100,11798.3,88.68
131200,11807.1,88.56
131300,11816,88.44
131400,11824.8,88.32
131500,11833.7,88.2
131600,11842.5,88.08
131700,11851.3,87.96
131800,11860.1,87.84
131900,11868.8,87.72
132000,11877.6,87.6
132100,11886.4,87.48
132200,11895.1,87.36
132300,11903.8,87.24
132400,11912.5,87.12
132500,11921.3,87
132600,11929.9,86.88
132700,11938.6,86.76
132800,11947.3,86.64
132900,11956,86.52
133000,11964.6,86.4
133100,11973.2,86.28
133200,11981.9,86.16
133300,11990.5,86.04
133400,11999.1,85.92
133500,12007.7,85.8
133600,12016.2,85.68
133700,12024.8,85.56
133800,12033.3,85.44
133900,12041.9,85.32
134000,12050.4,85.2
134100,12058.9,85.08
134200,12067.4,84.96
134300,12075.9,84.84
134400,12084.4,84.72
134500,12092.9,84.6
134600,12101.3,84.48
134700,12109.7,84.36
134800,12118.2,84.24
134900,12126.6,84.12
135000,12135,84
135100,12143.4,83.88
135200,12151.8,83.76
135300,12160.1,83.64
135400,12168.5,83.52
135500,12176.9,83.4
135600,12185.2,83.28
135700,12193.5,83.16
135800,12201.8,83.04
135900,12210.1,82.92
136000,12218.4,82.8
136100,12226.7,82.68
136200,12234.9,82.56
136300,12243.2,82.44
136400,12251.4,82.32
136500,12259.7,82.2
136600,12267.9,82.08
136700,12276.1,81.96
136800,12284.3,81.84
136900,12292.4,81.72
137000,12300.6,81.6
137100,12308.8,81.48
137200,12316.9,81.36
137300,12325,81.24
137400,12333.1,81.12
137500,12341.3,81
137600,12349.3,80.88
137700,12357.4,80.76
137800,12365.5,80.64
137900,12373.6,80.52
138000,12381.6,80.4
138100,12389.6,80.28
138200,12397.7,80.16
138300,12405.7,80.04
138400,12413.7,79.92
138500,12421.7,79.8
138600,12429.6,79.68
138700,12437.6,79.56
138800,12445.5,79.44
138900,12453.5,79.32
139000,12461.4,79.2
139100,12469.3,79.08
139200,12477.2,78.96
139300,12485.1,78.84
139400,12493,78.72
139500,12500.9,78.6
139600,12508.7,78.48
139700,12516.5,78.36
139800,12524.4,78.24
139900,12532.2,78.12
140000,12540,78
140100,12547.8,77.88
140200,12555.6,77.76
140300,12563.3,77.64
140400,12571.1,77.52
140500,12578.9,77.4
140600,12586.6,77.28
140700,12594.3,77.16
140800,12602,77.04
140900,12609.7,76.92
141000,12617.4,76.8
141100,12625.1,76.68
141200,12632.7,76.56
141300,12640.4,76.44
141400,12648,76.32
141500,12655.7,76.2
141600,12663.3,76.08
141700,12670.9,75.96
141800,12678.5,75.84
141900,12686,75.72
142000,12693.6,75.6
142100,12701.2,75.48
142200,12708.7,75.36
142300,12716.2,75.24
142400,12723.7,75.12
142500,12731.3,75
142600,12738.7,74.88
142700,12746.2,74.76
142800,12753.7,74.64
142900,12761.2,74.52
143000,12768.6,74.4
143100,12776,74.28
143200,12783.5,74.16
143300,12790.9,74.04
143400,12798.3,73.92
143500,12805.7,73.8
143600,12813,73.68
143700,12820.4,73.56
143800,12827.7,73.44
143900,12835.1,73.32
144000,12842.4,73.2
144100,12849.7,73.08
144200,12857,72.96
144300,12864.3,72.84
144400,12871.6,72.72
144500,12878.9,72.6
144600,12886.1,72.48
144700,12893.3,72.36
144800,12900.6,72.24
144900,12907.8,72.12
145000,12915,72
145100,12922.2,71.88
145200,12929.4,71.76
145300,12936.5,71.64
145400,12943.7,71.52
145500,12950.9,71.4
145600,12958,71.28
145700,12965.1,71.16
145800,12972.2,71.04
145900,12979.3,70.92
146000,12986.4,70.8
146100,12993.5,70.68
146200,13000.5,70.56
146300,13007.6,70.44
146400,13014.6,70.32
146500,13021.7,70.2
146600,13028.7,70.08
146700,13035.7,69.96
146800,13042.7,69.84
146900,13049.6,69.72
147000,13056.6,69.6
147100,13063.6,69.48
147200,13070.5,69.36
147300,13077.4,69.24
147400,13084.3,69.12
147500,13091.3,69
147600,13098.1,68.88
147700,13105,68.76
147800,13111.9,68.64
147900,13118.8,68.52
148000,13125.6,68.4
148100,13132.4,68.28
148200,13139.3,68.16
148300,13146.1,68.04
148400,13152.9,67.92
148500,13159.7,67.8
148600,13166.4,67.68
148700,13173.2,67.56
148800,13179.9,67.44
148900,13186.7,67.32
149000,13193.4,67.2
149100,13200.1,67.08
149200,13206.8,66.96
149300,13213.5,66.84
149400,13220.2,66.72
149500,13226.9,66.6
149600,13233.5,66.48
149700,13240.1,66.36
149800,13246.8,66.24
149900,13253.4,66.12
150000,13260,66
150100,13266.6,65.88
150200,13273.2,65.76
150300,13279.7,65.64
150400,13286.3,65.52
150500,13292.9,65.4
150600,13299.4,65.28
150700,13305.9,65.16
150800,13312.4,65.04
150900,13318.9,64.92
151000,13325.4,64.8
151100,13331.9,64.68
151200,13338.3,64.56
151300,13344.8,64.44
151400,13351.2,64.32
151500,13357.7,64.2
151600,13364.1,64.08
151700,13370.5,63.96
151800,13376.9,63.84
151900,13383.2,63.72
152000,13389.6,63.6
152100,13396,63.48
152200,13402.3,63.36
152300,13408.6,63.24
152400,13414.9,63.12
152500,13421.3,63
152600,13427.5,62.88
152700,13433.8,62.76
152800,13440.1,62.64
152900,13446.4,62.52
153000,13452.6,62.4
153100,13458.8,62.28
153200,13465.1,62.16
153300,13471.3,62.04
153400,13477.5,61.92
153500,13483.7,61.8
153600,13489.8,61.68
153700,13496,61.56
153800,13502.1,61.44
153900,13508.3,61.32
154000,13514.4,61.2
154100,13520.5,61.08
154200,13526.6,60.96
154300,13532.7,60.84
154400,13538.8,60.72
154500,13544.9,60.6
154600,13550.9,60.48
154700,13556.9,60.36
154800,13563,60.24
154900,13569,60.12
155000,13575,60
155100,13581,59.88
155200,13587,59.76
155300,13592.9,59.64
155400,13598.9,59.52
155500,13604.9,59.4
155600,13610.8,59.28
155700,13616.7,59.16
155800,13622.6,59.04
155900,13628.5,58.92
156000,13634.4,58.8
156100,13640.3,58.68
156200,13646.1,58.56
156300,13652,58.44
156400,13657.8,58.32
156500,13663.7,58.2
156600,13669.5,58.08
156700,13675.3,57.96
156800,13681.1,57.84
156900,13686.8,57.72
157000,13692.6,57.6
157100,13698.4,57.48
157200,13704.1,57.36
157300,13709.8,57.24
157400,13715.5,57.12
157500,13721.3,57
157600,13726.9,56.88
157700,13732.6,56.76
157800,13738.3,56.64
157900,13744,56.52
158000,13749.6,56.4
158100,13755.2,56.28
158200,13760.9,56.16
158300,13766.5,56.04
158400,13772.1,55.92
158500,13777.7,55.8
158600,13783.2,55.68
158700,13788.8,55.56
158800,13794.3,55.44
158900,13799.9,55.32
159000,13805.4,55.2
159100,13810.9,55.08
159200,13816.4,54.96
159300,13821.9,54.84
159400,13827.4,54.72
159500,13832.9,54.6
159600,13838.3,54.48
159700,13843.7,54.36
159800,13849.2,54.24
159900,13854.6,54.12
160000,13860,54
160100,13865.4,53.88
160200,13870.8,53.76
160300,13876.1,53.64
160400,13881.5,53.52
160500,13886.9,53.4
160600,13892.2,53.28
160700,13897.5,53.16
160800,13902.8,53.04
160900,13908.1,52.92
161000,13913.4,52.8
161100,13918.7,52.68
161200,13923.9,52.56
161300,13929.2,52.44
161400,13934.4,52.32
161500,13939.7,52.2
161600,13944.9,52.08
161700,13950.1,51.96
161800,13955.3,51.84
161900,13960.4,51.72
162000,13965.6,51.6
162100,13970.8,51.48
162200,13975.9,51.36
162300,13981,51.24
162400,13986.1,51.12
162500,13991.3,51
162600,13996.3,50.88
162700,14001.4,50.76
162800,14006.5,50.64
162900,14011.6,50.52
163000,14016.6,50.4
163100,14021.6,50.28
163200,14026.7,50.16
163300,14031.7,50.04
163400,14036.7,49.92
163500,14041.7,49.8
163600,14046.6,49.68
163700,14051.6,49.56
163800,14056.5,49.44
